SCP     set-covering-problem
LAD     logical-analysis-data
CE      cross-entropy
CM      corridor-method
LB      local-branching
DP      dynamic-programming
CFLP    capacitated-facility-location-problem
MIP     mixed-integer-programming
MIPs    mixed-integer-programming
MILP    mixed-integer-linear-programming
TSP     traveling-salesman-problem
RINS    relaxation-induced-neighborhood-search
PSO     particle-swarm-optmization
COP     combinatorial-optimization-problem
COPs    combinatorial-optimization-problem
IPs     integer-programming
IP      integer-programming
LP      linear-programming
GA      genetic-algorithm
VLSN    very-large-scale-neighborhood
TS      tabu-search
ITL     iterated-local-search
VNS     variable-neighborhood-search
VNDS    variable-neighborhood-decomposition-search
DRT     diversification-refining-tight-refining
GRASP   greedy-randomized-adaptive-search-procedure
EA      evolutionary-algorithm
EAs     evolutionary-algorithm
LS      local-search
ACO     ant-colony-optimization
BB     branch-and-bound
BC     branch-and-cut
VRP     vehicle-routing-problem
KS      kernel-search
KP      knapsack-problem
CG      column-generation
OR      operations-research
AI      artificial-intelligence
BD      benders-decomposition
CP      constraint-programming
QAP     quadratic-assignment-problem
ILS     iterated-local-search
BB-based branch-and-bound
BC-based branch-and-cut
CM-based corridor-method
CE-based cross-entropy
DP-based dynamic-programming
TA-based tabu-search
GA-based genetic-algorithm
