,0.ID,0.dist,1.ID,1.dist,3.ID,3.dist,5.ID,5.dist,6.ID,6.dist,8.ID,8.dist,9.ID,9.dist,10.ID,10.dist,13.ID,13.dist,14.ID,14.dist,20.ID,20.dist,22.ID,22.dist,23.ID,23.dist,85.ID,85.dist,95.ID,95.dist,160.ID,160.dist,123.ID,123.dist
0,0,0.0,1,0.0,3,0.0,5,0.0,6,0.0,8,0.0,9,0.0,10,0.0,13,0.0,14,0.0,20,0.0,22,0.0,23,0.0,85,0.0,95,0.0,160,0.0,123,0.0
1,123,0.0101,9,0.009,6,0.0097,81,0.0131,3,0.0097,113,0.0123,20,0.0075,6,0.0174,9,0.0146,17,0.0121,21,0.0034,95,0.0135,113,0.013,4,0.0172,20,0.0072,17,0.0112,0,0.0101
2,18,0.0201,20,0.0129,95,0.0106,3,0.0157,9,0.0169,18,0.0133,1,0.009,191,0.0188,18,0.015,3,0.0159,95,0.0072,184,0.0138,131,0.0186,84,0.0192,21,0.0084,3,0.0137,113,0.018
3,113,0.0202,27,0.0141,9,0.0116,101,0.0187,10,0.0174,24,0.017,3,0.0116,24,0.0203,24,0.0165,81,0.0159,9,0.0075,53,0.0174,16,0.0194,65,0.0196,3,0.0106,12,0.0161,8,0.0184
4,110,0.0211,13,0.0166,101,0.0121,14,0.0205,95,0.0182,123,0.0184,21,0.0122,7,0.0204,1,0.0166,160,0.0169,1,0.0129,83,0.0176,184,0.021,83,0.0212,83,0.0117,2,0.0161,18,0.0192
5,153,0.0221,21,0.0171,20,0.0133,6,0.0222,13,0.0192,191,0.02,95,0.014,12,0.022,21,0.0177,11,0.0175,112,0.0133,21,0.0177,115,0.0219,53,0.0228,112,0.0119,14,0.0169,24,0.0229
6,8,0.0245,54,0.02,160,0.0137,95,0.0229,101,0.0195,59,0.0203,13,0.0146,2,0.022,12,0.0183,12,0.0184,3,0.0133,20,0.0187,83,0.022,170,0.0231,101,0.012,95,0.0183,19,0.0235
7,1,0.0251,110,0.0205,81,0.0138,113,0.0231,20,0.0196,16,0.0221,6,0.0169,17,0.0238,2,0.0183,2,0.0184,101,0.0149,112,0.0188,81,0.0226,184,0.0235,22,0.0135,101,0.0191,191,0.0241
8,23,0.0253,131,0.0211,180,0.0157,180,0.0238,160,0.0199,81,0.0242,27,0.0175,3,0.0251,191,0.0184,59,0.019,83,0.0152,65,0.0188,24,0.0237,95,0.0242,9,0.014,81,0.0196,59,0.0241
9,16,0.0257,180,0.0216,5,0.0157,9,0.0241,81,0.0199,0,0.0245,101,0.019,73,0.0254,17,0.0189,95,0.0202,53,0.0158,54,0.0257,27,0.0241,153,0.0249,53,0.0149,21,0.0199,11,0.0245
10,24,0.0257,153,0.0221,14,0.0159,83,0.0242,12,0.0201,143,0.0254,180,0.0195,18,0.0255,7,0.019,5,0.0205,27,0.0162,85,0.0267,53,0.0241,131,0.025,65,0.0151,6,0.0199,143,0.0249
11,27,0.0258,65,0.0226,21,0.0162,143,0.0248,2,0.0201,11,0.026,131,0.0206,81,0.0256,6,0.0192,143,0.0212,65,0.0172,101,0.0282,153,0.0246,11,0.0255,81,0.0164,59,0.0208,81,0.0254
12,143,0.027,29,0.0231,17,0.0175,20,0.0251,21,0.0207,38,0.0264,81,0.0218,16,0.0261,20,0.0195,101,0.0227,180,0.0174,29,0.0282,21,0.025,23,0.0255,184,0.0169,180,0.0218,17,0.0292
13,191,0.0272,95,0.0231,135,0.0206,11,0.0257,17,0.0221,17,0.0269,54,0.022,160,0.027,27,0.0196,53,0.0232,22,0.0187,170,0.0294,0,0.0253,21,0.0264,180,0.0177,53,0.0226,16,0.0297
14,81,0.0282,83,0.0239,83,0.0206,160,0.0266,5,0.0222,13,0.0291,83,0.0223,13,0.0276,81,0.0199,21,0.0245,13,0.0195,131,0.0296,11,0.0253,22,0.0267,6,0.0182,20,0.0229,53,0.0307
15,131,0.029,18,0.0242,13,0.0211,53,0.0268,191,0.0236,23,0.0293,160,0.0241,59,0.0294,131,0.0211,6,0.0256,6,0.0196,32,0.0297,95,0.0253,143,0.0273,160,0.0183,11,0.0234,40,0.0318
16,38,0.0294,0,0.0251,53,0.0212,74,0.0269,24,0.0244,115,0.0294,5,0.0241,113,0.0304,3,0.0211,180,0.0259,131,0.0205,27,0.0298,65,0.0255,115,0.0286,14,0.0202,13,0.0235,54,0.0327
17,84,0.0294,170,0.0254,12,0.0219,13,0.0276,7,0.0244,12,0.0295,112,0.0243,9,0.0304,95,0.0215,18,0.0266,184,0.0211,9,0.03,85,0.0255,113,0.0287,32,0.0205,18,0.0236,23,0.0328
18,4,0.0303,53,0.0259,2,0.0219,21,0.028,14,0.0256,2,0.0295,29,0.0243,23,0.0325,113,0.0219,83,0.0266,54,0.0217,13,0.0305,191,0.0257,20,0.0287,54,0.0207,9,0.0241,153,0.0329
19,54,0.0304,3,0.0264,54,0.0221,17,0.0282,59,0.0261,73,0.0307,53,0.0246,110,0.0327,110,0.0224,115,0.0268,170,0.022,180,0.0305,170,0.0258,54,0.029,13,0.0215,54,0.0247,38,0.0329
20,11,0.0311,101,0.0271,11,0.0236,32,0.0282,180,0.0275,19,0.0308,135,0.0258,21,0.0327,180,0.0226,113,0.0285,81,0.0221,1,0.0309,110,0.0261,38,0.0293,11,0.0217,7,0.0248,67,0.0329
21,83,0.0311,112,0.0278,112,0.0243,59,0.0286,135,0.0284,14,0.0317,170,0.0264,95,0.034,184,0.023,20,0.0288,135,0.0223,11,0.0312,18,0.0267,18,0.03,27,0.022,83,0.0249,73,0.0333
22,53,0.0315,184,0.0283,59,0.025,146,0.0298,18,0.0295,53,0.0336,153,0.0267,131,0.0346,54,0.0234,32,0.029,160,0.0229,81,0.0325,13,0.0271,27,0.0313,17,0.0221,191,0.026,110,0.0334
23,13,0.0316,81,0.0298,10,0.0251,135,0.0302,83,0.0309,110,0.0342,18,0.027,135,0.0348,160,0.0235,24,0.0295,29,0.0231,3,0.0327,73,0.0275,32,0.0318,135,0.0228,24,0.0265,84,0.0336
24,85,0.0319,24,0.0303,32,0.0256,115,0.0314,1,0.0315,7,0.0351,65,0.0272,20,0.0351,59,0.0235,13,0.0301,5,0.0251,115,0.0328,20,0.0276,81,0.0318,5,0.0229,112,0.0266,12,0.0338
25,67,0.0321,22,0.0309,1,0.0264,23,0.032,16,0.0318,153,0.0353,110,0.0278,101,0.0354,83,0.0236,9,0.031,11,0.0269,153,0.0329,28,0.0285,0,0.0319,1,0.0231,5,0.0266,180,0.0338
26,19,0.0322,4,0.0311,131,0.0264,54,0.032,27,0.0322,5,0.0353,17,0.0281,5,0.0358,16,0.0239,191,0.0312,23,0.0276,23,0.0332,38,0.0286,101,0.0324,131,0.0232,10,0.027,2,0.0338
27,65,0.0327,143,0.0314,27,0.0264,27,0.0321,112,0.0331,4,0.0358,24,0.029,180,0.036,101,0.0245,54,0.0314,17,0.028,160,0.0339,84,0.029,110,0.033,170,0.0234,143,0.0288,13,0.0348
